Protein,Encoding,Model,Acquisition,Timestep,Mean,Std
GB1,AA,Boosting Ensemble,GREEDY,252,0.7825398,0.018240359
GB1,AA,Boosting Ensemble,GREEDY,253,0.7825398,0.018240359
GB1,AA,Boosting Ensemble,GREEDY,254,0.7838493,0.018246146
GB1,AA,Boosting Ensemble,GREEDY,255,0.7838493,0.018246146
GB1,AA,Boosting Ensemble,GREEDY,256,0.78581774,0.018473426
GB1,AA,Boosting Ensemble,GREEDY,257,0.78581774,0.018473426
GB1,AA,Boosting Ensemble,GREEDY,258,0.7873703,0.018310465
GB1,AA,Boosting Ensemble,GREEDY,259,0.78810817,0.018258069
GB1,AA,Boosting Ensemble,GREEDY,260,0.78810817,0.018258069
GB1,AA,Boosting Ensemble,GREEDY,261,0.78810817,0.018258069
GB1,AA,Boosting Ensemble,GREEDY,262,0.78810817,0.018258069
GB1,AA,Boosting Ensemble,GREEDY,263,0.7902591,0.018138846
GB1,AA,Boosting Ensemble,GREEDY,264,0.7902591,0.018138846
GB1,AA,Boosting Ensemble,GREEDY,265,0.7919575,0.017865976
GB1,AA,Boosting Ensemble,GREEDY,266,0.7919575,0.017865976
GB1,AA,Boosting Ensemble,GREEDY,267,0.7919575,0.017865976
GB1,AA,Boosting Ensemble,GREEDY,268,0.7919575,0.017865976
GB1,AA,Boosting Ensemble,GREEDY,269,0.79205585,0.01785205
GB1,AA,Boosting Ensemble,GREEDY,270,0.793017,0.017658303
GB1,AA,Boosting Ensemble,GREEDY,271,0.793017,0.017658303
GB1,AA,Boosting Ensemble,GREEDY,272,0.793017,0.017658303
GB1,AA,Boosting Ensemble,GREEDY,273,0.7934116,0.017676165
GB1,AA,Boosting Ensemble,GREEDY,274,0.7961219,0.017792573
GB1,AA,Boosting Ensemble,GREEDY,275,0.7961219,0.017792573
GB1,AA,Boosting Ensemble,GREEDY,276,0.7961219,0.017792573
GB1,AA,Boosting Ensemble,GREEDY,277,0.7961219,0.017792573
GB1,AA,Boosting Ensemble,GREEDY,278,0.7967812,0.017798804
GB1,AA,Boosting Ensemble,GREEDY,279,0.79691446,0.017787667
GB1,AA,Boosting Ensemble,GREEDY,280,0.7983866,0.017636873
GB1,AA,Boosting Ensemble,GREEDY,281,0.80061823,0.01780706
GB1,AA,Boosting Ensemble,GREEDY,282,0.8012399,0.017723924
GB1,AA,Boosting Ensemble,GREEDY,283,0.8012399,0.017723924
GB1,AA,Boosting Ensemble,GREEDY,284,0.8012399,0.017723924
GB1,AA,Boosting Ensemble,GREEDY,285,0.8012399,0.017723924
GB1,AA,Boosting Ensemble,GREEDY,286,0.8012399,0.017723924
GB1,AA,Boosting Ensemble,GREEDY,287,0.80211127,0.017690264
GB1,AA,Boosting Ensemble,GREEDY,288,0.80211127,0.017690264
GB1,AA,Boosting Ensemble,GREEDY,289,0.82957643,0.01814927
GB1,AA,Boosting Ensemble,GREEDY,290,0.8377794,0.018242713
GB1,AA,Boosting Ensemble,GREEDY,291,0.8428256,0.01803458
GB1,AA,Boosting Ensemble,GREEDY,292,0.84501565,0.01793366
GB1,AA,Boosting Ensemble,GREEDY,293,0.849716,0.018274998
GB1,AA,Boosting Ensemble,GREEDY,294,0.849716,0.018274998
GB1,AA,Boosting Ensemble,GREEDY,295,0.8516808,0.018400056
GB1,AA,Boosting Ensemble,GREEDY,296,0.8516808,0.018400056
GB1,AA,Boosting Ensemble,GREEDY,297,0.8534056,0.01828522
GB1,AA,Boosting Ensemble,GREEDY,298,0.8538464,0.018210245
GB1,AA,Boosting Ensemble,GREEDY,299,0.8581143,0.017833998
GB1,AA,Boosting Ensemble,GREEDY,300,0.86087185,0.017941115
GB1,AA,Boosting Ensemble,GREEDY,301,0.8632843,0.018045047
GB1,AA,Boosting Ensemble,GREEDY,302,0.8632843,0.018045047
GB1,AA,Boosting Ensemble,GREEDY,303,0.8632843,0.018045047
GB1,AA,Boosting Ensemble,GREEDY,304,0.8651199,0.017716672
GB1,AA,Boosting Ensemble,GREEDY,305,0.86708003,0.0173755
GB1,AA,Boosting Ensemble,GREEDY,306,0.86708003,0.0173755
GB1,AA,Boosting Ensemble,GREEDY,307,0.86708003,0.0173755
GB1,AA,Boosting Ensemble,GREEDY,308,0.8694925,0.017470377
GB1,AA,Boosting Ensemble,GREEDY,309,0.8694925,0.017470377
GB1,AA,Boosting Ensemble,GREEDY,310,0.8694925,0.017470377
GB1,AA,Boosting Ensemble,GREEDY,311,0.8694925,0.017470377
GB1,AA,Boosting Ensemble,GREEDY,312,0.8694925,0.017470377
GB1,AA,Boosting Ensemble,GREEDY,313,0.8694925,0.017470377
GB1,AA,Boosting Ensemble,GREEDY,314,0.8694925,0.017470377
GB1,AA,Boosting Ensemble,GREEDY,315,0.8694925,0.017470377
GB1,AA,Boosting Ensemble,GREEDY,316,0.87146086,0.017569099
GB1,AA,Boosting Ensemble,GREEDY,317,0.87146086,0.017569099
GB1,AA,Boosting Ensemble,GREEDY,318,0.87146086,0.017569099
GB1,AA,Boosting Ensemble,GREEDY,319,0.87146086,0.017569099
GB1,AA,Boosting Ensemble,GREEDY,320,0.87146086,0.017569099
GB1,AA,Boosting Ensemble,GREEDY,321,0.87146086,0.017569099
GB1,AA,Boosting Ensemble,GREEDY,322,0.87146086,0.017569099
GB1,AA,Boosting Ensemble,GREEDY,323,0.87146086,0.017569099
GB1,AA,Boosting Ensemble,GREEDY,324,0.87146086,0.017569099
GB1,AA,Boosting Ensemble,GREEDY,325,0.87146086,0.017569099
GB1,AA,Boosting Ensemble,GREEDY,326,0.87146086,0.017569099
GB1,AA,Boosting Ensemble,GREEDY,327,0.87146086,0.017569099
GB1,AA,Boosting Ensemble,GREEDY,328,0.8723323,0.017484495
GB1,AA,Boosting Ensemble,GREEDY,329,0.8723323,0.017484495
GB1,AA,Boosting Ensemble,GREEDY,330,0.8723323,0.017484495
GB1,AA,Boosting Ensemble,GREEDY,331,0.87245834,0.017466815
GB1,AA,Boosting Ensemble,GREEDY,332,0.8744267,0.017560743
GB1,AA,Boosting Ensemble,GREEDY,333,0.8744267,0.017560743
GB1,AA,Boosting Ensemble,GREEDY,334,0.875758,0.017556902
GB1,AA,Boosting Ensemble,GREEDY,335,0.875758,0.017556902
